County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom Longitude Corrected,Bloom_Latitude
Alpine,Indian Creek,Indian Creek ~1.9mi above EF Carson R.,Last verified >90 days ago,9/1/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",9/1/2023 10:24,4368,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,Indian Creek ~1.9mi above EF Carson R.,8/24/2023 0:00,,Region 6 - Lahontan,,Indian Creek,Detail,-119.77953,38.66878
Alpine,Leviathan Creek,"Leviathan Cr, upper",Last verified >90 days ago,9/1/2023,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",9/1/2023 10:31,4370,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,"Leviathan Cr, upper",8/23/2023 0:00,,Region 6 - Lahontan,,Leviathan Creek,Detail,-119.64773,38.68823
Alpine,Red Lake Creek,Red Lake Creek Nearest Red Lake (633RLC05),Last verified >90 days ago,11/2/2023,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/1/2023 14:05,4305,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Red Lake Creek Nearest Red Lake (633RLC05),7/24/2023 0:00,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake Creek,Detail,-119.97004,38.70150
Alpine,West Fork Carson River,West Fork Carson River at Paynesville Bridge,Last verified >90 days ago,10/3/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,10/3/2023 8:19,4396,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,West Fork Carson River at Paynesville Bridge,9/21/2023 0:00,,Region 6 - Lahontan,,West Fork Carson River,Detail,-119.77714,38.80889
Alpine,West Fork Carson River,"West Fork Carson River, upper Faith",Last verified >90 days ago,10/11/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",10/11/2023 9:28,4400,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,"West Fork Carson River, upper Faith",9/25/2023 0:00,,Region 6 - Lahontan,,West Fork Carson River,Detail,-119.93125,38.68111
Butte,Phantom Falls creek,"Phantom Falls in North Table Mountain Ecological Reserve, Gold Run",Last verified >90 days ago,5/11/2023,Advisory based on visual and toxins; Bottom/benthic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",5/2/2023 12:19,4087,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Dept of Fish and Wildlife,Butte,"Phantom Falls in North Table Mountain Ecological Reserve, Gold Run",4/26/2023 0:00,California Department of Fish and Wildlife,Region 5 - Central Valley,,Phantom Falls creek,Detail,-121.55956,39.61080
Colusa,Little Stony Creek,Little Stony Creek Below Frenzel Creek,Last verified >90 days ago,5/31/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/16/2022 14:02,3477,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Colusa,Little Stony Creek Below Frenzel Creek,6/9/2022 0:00,,Region 5 - Central Valley,,Little Stony Creek,Detail,-122.56027,39.29111
Contra Costa,Bethel Island,Stone Rd. and Sea Drift Dr.,Last verified >90 days ago,8/3/2023,Suspected illness reported; Under investigation,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.  This report is under investigation.",7/26/2023 15:44,4290,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,OEHHA,Contra Costa,Stone Rd. and Sea Drift Dr.,7/26/2023 0:00,,Region 5 - Central Valley,,Bethel Island,Detail,-121.63000,38.00935
Contra Costa,Delta Coves,Delta coves,Last verified >90 days ago,6/27/2023,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",6/27/2023 8:17,4190,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Contra Costa,Delta coves,6/25/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Delta Coves,Detail,-121.62516,38.01819
Contra Costa,Delta Coves,Navigators Place Cove,Last verified >90 days ago,7/17/2023,Under investigation,This report is under investigation.,7/16/2023 21:15,4273,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Contra Costa,Navigators Place Cove,7/16/2023 0:00,,Region 5 - Central Valley,,Delta Coves,Detail,-121.63791,38.01818
Contra Costa,False River,near Oakley (FAL),Last verified >90 days ago,11/6/2023,"Suspected bloom, investigation ongoing; Visual monitoring only-present bloom","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/30/2023 16:39,4049,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Contra Costa,near Oakley (FAL),1/17/2023 0:00,,Region 5 - Central Valley,,False River,Detail,-121.66690,38.05580
Contra Costa,Fisherman's Cut,near San Joaquin River (FCT),Last verified >90 days ago,11/6/2023,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/30/2023 16:50,4050,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Contra Costa,near San Joaquin River (FCT),1/17/2023 0:00,,Region 5 - Central Valley,,Fisherman's Cut,Detail,-121.64880,38.06780
Contra Costa,Frank's Tract,Frank's Tract near Russo's Landing,Last verified >90 days ago,9/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/23/2023 11:19,4116,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Contra Costa,Frank's Tract near Russo's Landing,5/11/2023 0:00,,Region 5 - Central Valley,,Frank's Tract,Detail,-121.61480,38.04376
Contra Costa,Los Vaqueros Reservoir,north shore,Last verified >90 days ago,7/6/2023,"satellite based visual observation; Suspected bloom, investigation ongoing","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.  Satellite imagery detects a suspected cyanobacteria bloom. Once additional information is received from local agencies this report will be updated.",7/5/2023 16:37,4231,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Contra Costa Water District,Contra Costa,north shore,7/2/2023 0:00,Unknown,Region 5 - Central Valley,City Department,Los Vaqueros Reservoir,Detail,-121.74050,37.82020
Contra Costa,Old River,Old River downstream of Clifton Court Forebay Intake (WCI),Last verified >90 days ago,9/8/2023,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/18/2023 14:36,3980,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,Contra Costa,Old River downstream of Clifton Court Forebay Intake (WCI),1/11/2023 0:00,,Region 5 - Central Valley,,Old River,Detail,-121.55402,37.83158
Contra Costa,"San Francisco Bay, Central",Richmond Marina,Last verified >90 days ago,8/1/2023,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",8/1/2023 15:41,4306,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CDPH,Contra Costa,Richmond Marina,7/31/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.35033,37.91163
Contra Costa,San Joaquin River,San Joaquin River @ Antioch Ship Channel,Last verified >90 days ago,9/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/23/2023 11:12,4115,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Contra Costa,San Joaquin River @ Antioch Ship Channel,5/11/2023 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.80630,38.02161
Contra Costa,San Joaquin River,San Joaquin River @ Twitchell Island,Last verified >90 days ago,9/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/23/2023 11:29,4118,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Contra Costa,San Joaquin River @ Twitchell Island,5/12/2023 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.66910,38.09690
Contra Costa,San Pablo Bay,main channel,Last verified >90 days ago,8/1/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/1/2023 16:20,4310,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Baykeeper,Contra Costa,main channel,7/31/2023 0:00,,Region 2 - San Francisco Bay,,San Pablo Bay,Detail,-122.41295,37.97958
Del Norte,Klamath River,at Klamath Glen (Roy Rook),Last verified >90 days ago,11/3/2023,No cyano bloom w/testing; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.",8/31/2023 7:37,4363,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Del Norte,at Klamath Glen (Roy Rook),8/23/2023 0:00,Yurok Tribe,Region 1 - North Coast,Yurok Tribe,Klamath River,Detail,-124.00045,41.51602
El Dorado,Lake Baron,Boat Ramp,Last verified >90 days ago,10/19/2023,Lake-wide advisory; Testing results below posting triggers,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/30/2023 12:26,4223,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Boat Ramp,6/21/2023 0:00,,Region 6 - Lahontan,,Lake Baron,Detail,-120.02557,38.58760
El Dorado,Lake Baron,South East Corner,Last verified >90 days ago,10/19/2023,Lake-wide advisory; Testing results below posting triggers; Visual monitoring only-present bloom,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.    Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/30/2023 12:28,4224,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,South East Corner,6/21/2023 0:00,,Region 6 - Lahontan,,Lake Baron,Detail,-120.02647,38.85286
El Dorado,Lake Baron,Tahoe Paradise Park,Last verified >90 days ago,5/8/2023,Suspected illness reported,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",5/8/2023 11:22,4090,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Tahoe Lake Forester,El Dorado,Tahoe Paradise Park,5/8/2023 0:00,Local Park and Recreation Department,Region 6 - Lahontan,,Lake Baron,Detail,-120.02549,38.85709
El Dorado,Lake Tahoe,El Dorado Beach,Last verified >90 days ago,9/29/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2023 7:39,4126,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,El Dorado Beach,5/16/2023 0:00,,Region 6 - Lahontan,City Department,Lake Tahoe,Detail,-119.97746,38.94494
El Dorado,Meeks Creek,Meeks Creek ~1.8mi below Lake Genevieve,Last verified >90 days ago,9/25/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,9/25/2023 14:44,4389,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,El Dorado,Meeks Creek ~1.8mi below Lake Genevieve,9/13/2023 0:00,,Region 6 - Lahontan,,Meeks Creek,Detail,-120.15304,39.01937
El Dorado,Silver Fork American River,Silver Fork American River at Silver Fork Rd.,Last verified >90 days ago,10/3/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,9/16/2022 11:12,3727,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,El Dorado,Silver Fork American River at Silver Fork Rd.,9/6/2022 0:00,,Region 5 - Central Valley,,Silver Fork American River,Detail,-120.20136,38.69487
El Dorado,Tahoe Keys Lagoon,Spinnaker Cove (Site 7),Last verified >90 days ago,7/19/2023,Under investigation,This report is under investigation.,7/19/2023 8:50,4278,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Spinnaker Cove (Site 7),7/11/2023 0:00,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.00800,38.93697
Fresno,Millerton Lake,meadow campground,Last verified >90 days ago,8/28/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,7/7/2023 10:22,4234,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Fresno,meadow campground,7/3/2023 0:00,,Region 5 - Central Valley,,Millerton Lake,Detail,-119.66200,37.01740
Glenn,Corbin Creek,Corbin Creek ~0.1mi above NF,Last verified >90 days ago,5/31/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/31/2023 9:44,4146,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Glenn,Corbin Creek ~0.1mi above NF,5/12/2023 0:00,,Region 1 - North Coast,,Corbin Creek,Detail,-122.73120,39.54980
Humboldt,Humboldt Bay,King Salmon Beach,Last verified >90 days ago,8/16/2023,Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.",8/8/2023 15:43,4321,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,King Salmon Beach,8/8/2023 0:00,County Environmental Health Department,Region 1 - North Coast,County Environmental Health Department,Humboldt Bay,Detail,-124.21972,40.74134
Humboldt,Stone Lagoon,Lagoonwide,Last verified >90 days ago,6/26/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/31/2022 8:13,3441,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Lagoon Rancheria,Humboldt,Lagoonwide,5/19/2022 0:00,Big Lagoon Rancheria,Region 1 - North Coast,California State Parks,Stone Lagoon,Detail,-124.08366,41.23327
Humboldt,Trinity River,at Weitchpec,Last verified >90 days ago,11/3/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2023 7:57,4200,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,at Weitchpec,6/21/2023 0:00,Yurok Tribe,Region 1 - North Coast,Yurok Tribe,Trinity River,Detail,-123.70616,41.18459
Kern,Four Island Lake,Bear Valley Springs,Last verified >90 days ago,7/12/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/26/2023 10:36,4140,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Kern,Bear Valley Springs,5/26/2023 0:00,,Region 5 - Central Valley,,Four Island Lake,Detail,-118.65771,35.16213
Kern,Lake Evans,East,Last verified >90 days ago,8/22/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/22/2023 14:40,4338,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,East,8/7/2023 0:00,,Region 5 - Central Valley,,Lake Evans,Detail,-119.29220,35.23410
Kern,Lake Evans,West,Last verified >90 days ago,8/22/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/22/2023 14:38,4337,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,West,8/7/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Evans,Detail,-119.30199,35.23670
Lake,Cache Creek,"Cache Creek, NF ~0.4mi above Spanish Cr.",Last verified >90 days ago,6/26/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/26/2023 9:08,4182,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Lake,"Cache Creek, NF ~0.4mi above Spanish Cr.",6/12/2023 0:00,,Region 5 - Central Valley,,Cache Creek,Detail,-122.61998,39.16545
