Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,11/28/22,"Lake-wide advisory; Marine bloom present (red tide); Suspected bloom, investigation ongoing","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.  Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",11/22/2022 9:50:41 AM,3793,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Rotary Nature Center Friends,Alameda,Rotary Nature Center,11/20/2022 12:00:00 AM,City Department,Region 2 - San Francisco Bay,City Department,Lake Merritt,Detail,-122.25590,37.80694
Last verified >90 days ago,4/15/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,1/7/2022 12:00:00 AM,3111,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,,12/27/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Lake Temescal,Detail,-122.23053,37.84656
Last verified >90 days ago,4/15/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,1/7/2022 12:00:00 AM,3112,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,,12/28/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Quarry Lakes,Detail,-122.00181,37.57333
Last verified >90 days ago,12/29/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/12/2022 11:12:03 AM,3287,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,East Bay Regional Park,5/2/2022 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Quarry Lakes,Detail,-122.00181,37.57333
Last verified >90 days ago,4/15/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,9/2/2021 12:00:00 AM,3004,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Est bay regional park,Alameda,Lago Las Osos area,9/1/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Quarry Lakes,Detail,-121.99665,37.56897
Last verified >90 days ago,12/21/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/12/2022 11:28:12 AM,3293,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Lago Los Osos area,4/25/2022 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Quarry Lakes,Detail,-121.99665,37.56897
Last verified >90 days ago,8/25/22,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",8/25/2022 3:35:35 PM,3662,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,USFWS,Alameda,South San Francisco Bay Dumbarton Bridge,8/25/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,"San Francisco Bay, South",Detail,-122.11111,37.51083
Last verified >90 days ago,12/29/22,Under investigation,This report is under investigation.,5/12/2022 11:27:21 AM,3292,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,dog access area,1/3/2022 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,,Shadow Cliffs Arroyo,Detail,-121.83953,37.66736
Last verified >90 days ago,4/15/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,1/7/2022 12:00:00 AM,3114,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,& Arroyo - dog access area,12/8/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Shadow Cliffs Lake,Detail,-121.83669,37.66681
Last verified >90 days ago,3/11/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,1/7/2022 12:00:00 AM,3115,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Shadow Cliffs Reservoir,11/30/2021 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,Unknown,Shadow Cliffs Lake,Detail,-121.83874,37.66886
Last verified >90 days ago,12/29/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/12/2022 11:23:40 AM,3291,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Alameda,Shadow Cliffs Reservoir lake-wide,1/7/2022 12:00:00 AM,East Bay Regional Park District,Region 2 - San Francisco Bay,,Shadow Cliffs Lake,Detail,-121.83874,37.66886
Last verified >90 days ago,10/26/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/19/2022 11:02:55 AM,3315,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Alpine,Loading Zone,5/11/2022 12:00:00 AM,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Heenan Reservoir,Detail,-119.66530,38.65369
Last verified >90 days ago,10/21/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,4/8/2022 12:00:00 AM,3231,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,South Tahoe PUD,Alpine,Auxiliary Dam (ICR-CB03),4/6/2022 12:00:00 AM,Unknown,Region 6 - Lahontan,Unknown,Indian Creek Reservoir,Detail,-119.78287,38.74743
Last verified >90 days ago,10/21/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,4/8/2022 12:00:00 AM,3230,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,South Tahoe PUD,Alpine,Boat Launch  (ICR-CB02),4/6/2022 12:00:00 AM,Unknown,Region 6 - Lahontan,Unknown,Indian Creek Reservoir,Detail,-119.77636,38.75068
Last verified >90 days ago,10/21/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,4/8/2022 12:00:00 AM,3229,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,South Tahoe Public Utility District,Alpine,East Shore Dam near Shack  (ICR-CB01),4/6/2022 12:00:00 AM,Unknown,Region 6 - Lahontan,Unknown,Indian Creek Reservoir,Detail,-119.77815,38.75212
Last verified >90 days ago,11/10/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",7/28/2022 11:17:33 AM,3594,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Red Lake Shoreline Near Spillway on Dam End,7/19/2022 12:00:00 AM,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake,Detail,-119.97063,38.70139
Last verified >90 days ago,10/6/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/19/2022 10:51:22 AM,3314,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Alpine Watershed Group,Alpine,Shoreline Point 1 (633RLS01),5/11/2022 12:00:00 AM,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake,Detail,-119.96902,38.69864
Last verified >90 days ago,11/10/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",7/28/2022 11:20:21 AM,3595,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Red Lake Creek Nearest Red Lake,7/19/2022 12:00:00 AM,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake Creek,Detail,-119.97004,38.70150
Last verified >90 days ago,9/2/22,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,9/2/2022 9:27:37 AM,3680,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Private,Calaveras,campground,8/28/2022 12:00:00 AM,,Region 5 - Central Valley,,salt spring valley reservoir,Detail,-120.76140,38.02740
Last verified >90 days ago,7/5/22,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,7/5/2022 9:26:13 AM,3514,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Colusa,Diversion Dam,7/4/2022 12:00:00 AM,,Region 5 - Central Valley,,Stoney Creek,Detail,-122.58231,39.37294
Last verified >90 days ago,*,*,*,*,*,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,East Bay Regional Park District,Contra Costa,at Regional Park,*,East Bay Regional Park District,Region 5 - Central Valley,Unknown,Contra Loma Reservoir,Detail,-121.82366,37.97252
Last verified >90 days ago,7/27/22,Lake-wide advisory,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.,6/15/2022 5:21:07 PM,3474,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA State Water Resources Control Board,Contra Costa,numerous locations in Discovery Bay,6/6/2022 12:00:00 AM,Public entity,Region 5 - Central Valley,Public entity,Discovery Bay,Detail,-121.60307,37.90507
Last verified >90 days ago,11/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3183,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,Contra Costa,near San Joaquin River (FAL),1/6/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,False River,Detail,-121.66690,38.05580
Last verified >90 days ago,11/30/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/2/2022 12:00:00 AM,3182,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources,Contra Costa,near San Joaquin River (FCT),1/6/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Fisherman's Cut,Detail,-121.64880,38.06780
Last verified >90 days ago,10/19/22,Posted general awareness,“General awareness sign” for HABs was posted at this site and nearby access points.,7/22/2022 12:15:39 PM,3580,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),Contra Costa,Mid Tract (FRK),7/13/2022 12:00:00 AM,,Region 5 - Central Valley,,Frank's Tract,Detail,-121.59810,38.04642
Last verified >90 days ago,8/3/22,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,7/22/2022 11:35:01 AM,3578,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),Contra Costa,Mid-Tract (D19),7/19/2022 12:00:00 AM,,Region 5 - Central Valley,,Frank's Tract,Detail,-121.61480,38.04376
Last verified >90 days ago,12/20/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,3/14/2022 12:00:00 AM,3210,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Dept of Water Resources,Contra Costa,at Clifton Court Intake (ORI),3/8/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,Old River,Detail,-121.55260,37.82797
Last verified >90 days ago,8/25/22,Marine bloom present (red tide); Suspected illness reported,"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",8/25/2022 9:12:43 AM,3659,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2,Contra Costa,Point Richmond Pier,8/19/2022 12:00:00 AM,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.39002,37.91515
Last verified >90 days ago,8/3/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,8/3/2022 1:38:39 PM,3604,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,DOI - USFWS,Contra Costa,Pittsburgh Marina,7/18/2022 12:00:00 AM,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.88622,38.03937
Last verified >90 days ago,12/20/22,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",3/14/2022 12:00:00 AM,3211,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Dept of Water Resources,Contra Costa,at Clifton Court Intake (WCI),3/8/2022 12:00:00 AM,Unknown,Region 5 - Central Valley,Unknown,West Canal,Detail,-121.55402,37.83158
Last verified >90 days ago,11/10/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/7/2022 12:00:00 AM,3149,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Del Norte,at South Slough RM 0.1,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Yurok Tribe,Klamath River,Detail,-124.07563,41.53638
Last verified >90 days ago,11/10/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/7/2022 12:00:00 AM,3150,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Del Norte,Estuary (RM 0.5),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Yurok Tribe,Klamath River,Detail,-124.07296,41.54531
Last verified >90 days ago,11/10/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/7/2022 12:00:00 AM,3148,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Del Norte,near Klamath (RM 6.0),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Yurok Tribe,Klamath River,Detail,-123.98129,41.50949
Last verified >90 days ago,8/4/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/4/2022 10:32:42 AM,3607,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,El Dorado,"Cascade Creek, below Snow Lake",7/25/2022 12:00:00 AM,,Region 6 - Lahontan,,"Cascade Creek, below Snow Lake",Detail,-120.10930,38.92463
Last verified >90 days ago,8/4/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/4/2022 10:36:25 AM,3608,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,El Dorado,"General Cr, below loop road",7/26/2022 12:00:00 AM,,Region 6 - Lahontan,,General Creek,Detail,-120.14319,39.04401
Last verified >90 days ago,9/7/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/24/2022 3:40:41 PM,3374,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Tahoe Paradise Park,El Dorado,Boat Ramp,5/19/2022 12:00:00 AM,Local Park and Recreation Department,Region 6 - Lahontan,Local Park and Recreation Department,Lake Baron,Detail,-120.02555,38.85760
Last verified >90 days ago,9/7/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/24/2022 3:42:58 PM,3375,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Tahoe Paradise Park,El Dorado,South East Corner,5/19/2022 12:00:00 AM,Local Park and Recreation Department,Region 6 - Lahontan,Local Park and Recreation Department,Lake Baron,Detail,-120.02647,38.85286
Last verified >90 days ago,10/19/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,8/12/2022 2:30:57 PM,3628,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Water Boards,El Dorado,Barton Beach,8/11/2022 12:00:00 AM,Other,Region 6 - Lahontan,,Lake Tahoe,Detail,-119.99141,38.94332
Last verified >90 days ago,9/16/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,8/12/2022 2:24:23 PM,3627,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Water Boards,El Dorado,Connolly Beach,8/11/2022 12:00:00 AM,City Department,Region 6 - Lahontan,,Lake Tahoe,Detail,-119.96687,38.94748
Last verified >90 days ago,*,*,*,*,*,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,El Dorado Beach,*,Unknown,Region 6 - Lahontan,Unknown,Lake Tahoe,Detail,-119.97748,38.94480
Last verified >90 days ago,10/19/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/1/2022 12:52:19 PM,3447,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,private citizen,El Dorado,Kiva Beach,5/30/2022 12:00:00 AM,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.05677,38.94046
Last verified >90 days ago,9/16/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,8/31/2022 7:18:05 AM,3674,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Tahoe Conservancy,El Dorado,Mouth of Upper Truckee River as it enters Lake Tahoe,8/26/2022 12:00:00 AM,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.00468,38.94045
Last verified >90 days ago,3/18/22,"No cyano, other algae present.",Water testing of samples indicated no harmful algal bloom produced by cyanobacteria was present. Other types of nuisance algae are present that are not known to produce toxins.,3/15/2022 12:00:00 AM,3214,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Pope Beach,3/8/2022 12:00:00 AM,Unknown,Region 6 - Lahontan,Unknown,Lake Tahoe,Detail,-120.03199,38.93743
Last verified >90 days ago,9/23/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/24/2022 4:43:15 PM,3380,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Regan Beach,5/18/2022 12:00:00 AM,,Region 6 - Lahontan,,Lake Tahoe,Detail,-119.98458,38.94467
