County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom Longitude Corrected,Bloom_Latitude
Alameda,Lake Merritt,Glen Echo arm,Last verified >90 days ago,3/19/2024,De-posting advisory.,Water Boards recommends removing the posted advisory at this site.,3/15/2024 10:05,4436,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Region 2,Alameda,Glen Echo arm,3/14/2024 0:00,City Department,Region 2 - San Francisco Bay,City Department,Lake Merritt,Detail,-122.26157,37.80661
Alameda,Lake Merritt,Lake Merritt Boating Center (204LME025),None,11/8/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/9/2023 10:46,4155,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,Rotary Nature Center Friends,Alameda,Lake Merritt Boating Center (204LME025),5/31/2023 0:00,,Region 2 - San Francisco Bay,,Lake Merritt,Detail,-122.25776,37.80457
Alameda,Lake Merritt,Lakeside Park,Last verified >30 days ago,10/4/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/31/2024 9:33,4503,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Rotary Nature Center Friends,Alameda,Lakeside Park,5/23/2024 0:00,,Region 2 - San Francisco Bay,,lake Merritt,Detail,-122.25639,37.80560
Alameda,Lake Temescal,Lake Temescal,Caution,11/12/2024,Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:00,3965,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Lake Temescal,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Lake Temescal,Detail,-122.23053,37.84656
Alameda,Lakeshore Park,Pond Boat Launch,Last verified >90 days ago,4/29/2024,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",4/29/2024 8:53,4453,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Alameda,Pond Boat Launch,4/24/2024 0:00,,Region 2 - San Francisco Bay,,Lakeshore Park,Detail,-122.03296,37.55348
Alameda,Quarry Lakes,Horseshoe Lake (swim beach),Caution,11/12/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/9/2024 12:51,4431,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Horseshoe Lake (swim beach),2/9/2024 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Quarry Lakes,Detail,-122.00519,37.57690
Alameda,Quarry Lakes,Rainbow Lake,Caution,10/31/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/26/2023 10:15,4139,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Rainbow Lake,5/16/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Quarry Lakes,Detail,-122.00960,37.57315
Alameda,Quarry Lakes,Shinn Pond,Caution,10/31/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:53,3972,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Shinn Pond,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Quarry Lakes,Detail,-121.98819,37.57173
Alameda,San Francisco Bay,Encinal beach,Last verified >30 days ago,8/16/2024,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",9/4/2023 22:00,4377,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alameda,Encinal beach,9/4/2023 0:00,,Region 2 - San Francisco Bay,,San Francisco Bay,Detail,-122.29000,37.77000
Alameda,"San Francisco Bay, Central",Emeryville Marina,Last verified >90 days ago,7/3/2024,Marine bloom suspected (red tide); Under investigation,"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.   This report is under investigation.",7/3/2024 15:26,4558,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Baykeeper pollution hotline,Alameda,Emeryville Marina,7/3/2024 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.31171,37.83953
Alameda,"San Francisco Bay, Lower",Sea Plane Lagoon,Last verified >30 days ago,8/16/2024,Marine bloom present (red tide),"Marine bloom or “red tide” reported in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. CA Water Boards agency recommends people and pets avoid contact with the water during times of any dense blooms or discoloration in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system. Report any illnesses of human or animals (domestic and wild) to https://tinyurl.com/HABReport1. More information about marine harmful algal blooms is available on Dept. of Public Health’s Marine Biotoxin Monitoring Program webpage at: https://tinyurl.com/5e8uc9k4.",7/31/2023 14:28,4302,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alameda,Sea Plane Lagoon,7/23/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Lower",Detail,-122.29853,37.77732
Alameda,Shadow Cliffs Arroyo,dog access area,Caution,11/12/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:33,3969,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,dog access area,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Shadow Cliffs Arroyo,Detail,-121.83953,37.66736
Alameda,Shadow Cliffs Lake,Shadow Cliffs Reservoir lake-wide,Caution,11/12/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/13/2023 11:35,3970,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Alameda,Shadow Cliffs Reservoir lake-wide,1/1/2023 0:00,East Bay Regional Park District,Region 2 - San Francisco Bay,East Bay Regional Park District,Shadow Cliffs Lake,Detail,-121.83874,37.66886
Alpine,Arnot Creek,Arnot Cr 1,Last verified >30 days ago,9/13/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",9/13/2024 9:14,4708,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Alpine,Arnot Cr 1,9/5/2024 0:00,,Region 5 - Central Valley,,Arnot Creek,Detail,-119.79936,38.40735
Alpine,Heenan Reservoir,Dam,Last verified >30 days ago,10/7/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/30/2023 13:27,4362,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alpine,Dam,8/19/2023 0:00,,Region 6 - Lahontan,,Heenan Reservoir,Detail,-119.66491,38.65514
Alpine,Heenan Reservoir,Loading Zone,Last verified >30 days ago,10/7/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",7/6/2023 11:06,4233,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alpine,Loading Zone,6/23/2023 0:00,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Heenan Reservoir,Detail,-119.66370,38.65500
Alpine,Hot Springs Creek,Grover Hot Springs State Park between Buck Creek and Sawmill Creek,Last verified >90 days ago,3/28/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,3/18/2024 16:05,4437,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Alpine Watershed Group,Alpine,Grover Hot Springs State Park between Buck Creek and Sawmill Creek,3/16/2024 0:00,,Region 6 - Lahontan,,Hot Springs Creek,Detail,-119.85025,38.69996
Alpine,Indian Creek Reservoir,Auxiliary Dam (ICR-CB03),Last verified >90 days ago,6/25/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/24/2023 8:41,4085,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Auxiliary Dam (ICR-CB03),4/13/2023 0:00,,Region 6 - Lahontan,South Tahoe Public Utility District,Indian Creek Reservoir,Detail,-119.78287,38.74743
Alpine,Indian Creek Reservoir,Boat Launch  (ICR-CB02),Last verified >90 days ago,3/14/2024,Advisory based on visual and toxins; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/24/2023 8:29,4084,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Boat Launch  (ICR-CB02),4/13/2023 0:00,,Region 6 - Lahontan,South Tahoe Public Utility District,Indian Creek Reservoir,Detail,-119.77636,38.75068
Alpine,Indian Creek Reservoir,Boat Launch at Campground (ICR-CB05),Last verified >30 days ago,8/27/2024,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",8/29/2023 19:15,4359,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alpine,Boat Launch at Campground (ICR-CB05),8/22/2023 0:00,South Tahoe Public Utility District,Region 6 - Lahontan,South Tahoe Public Utility District,Indian Creek Reservoir,Detail,-119.78244,38.74494
Alpine,Indian Creek Reservoir,East Shore Dam near Shack  (ICR-CB01),Last verified >30 days ago,8/27/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/11/2023 11:43,3951,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alpine,East Shore Dam near Shack  (ICR-CB01),10/4/2022 0:00,South Tahoe Public Utility District,Region 6 - Lahontan,South Tahoe Public Utility District,Indian Creek Reservoir,Detail,-119.77815,38.75212
Alpine,Indian Creek Reservoir,South End Nearest Entrance to Campground (ICR-CB04),Last verified >30 days ago,8/27/2024,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",4/24/2023 8:43,4086,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,Alpine,South End Nearest Entrance to Campground (ICR-CB04),4/13/2023 0:00,,Region 6 - Lahontan,South Tahoe Public Utility District,Indian Creek Reservoir,Detail,-119.77864,38.74159
Alpine,Red Lake,Shoreline Point 1 (633RLS01),Visual observation of a bloom,11/4/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/23/2023 13:43,4173,Visual observation of a bloom,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",,Alpine,Shoreline Point 1 (633RLS01),6/19/2023 0:00,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake,Detail,-119.96902,38.69864
Alpine,Red Lake,Shoreline Point 2 (633RLS02),Visual observation of a bloom,11/4/2024,Updates from routine monitoring program-organization; visual monitoring based advisory,"Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/1/2023 14:02,4304,Visual observation of a bloom,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",,Alpine,Shoreline Point 2 (633RLS02),7/24/2023 0:00,California Department of Fish and Wildlife,Region 6 - Lahontan,California Department of Fish and Wildlife,Red Lake,Detail,-119.97063,38.70139
Alpine,Red Lake,Shoreline Point 3 (633RLS03),Last verified >90 days ago,7/26/2024,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",7/26/2024 9:02,4625,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Alpine,Shoreline Point 3 (633RLS03),7/17/2024 0:00,,Region 6 - Lahontan,,Red Lake,Detail,-119.96781,38.69988
Alpine,Unnamed pond,Near upper Lost Lakes,Last verified >30 days ago,8/19/2024,"Suspected bloom, investigation ongoing; Suspected illness reported","A suspected harmful algal bloom was reported, an investigation is underway and this report will be updated once info is provided by the responding organizations.  Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",8/19/2024 14:48,4661,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,California Dept. of Public Health,Alpine,Near upper Lost Lakes,7/28/2024 0:00,,Region 6 - Lahontan,,Unnamed pond,Detail,-119.95032,38.64827
Butte,Big Chico Creek,5 mile park,Last verified >90 days ago,7/12/2024,Under investigation,This report is under investigation.,7/10/2024 16:34,4579,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Butte,5 mile park,7/7/2024 0:00,,Region 5 - Central Valley,,Big Chico Creek,Detail,-121.79119,39.76231
Butte,Lake Oroville,Loafer Creek Swim Beach,Last verified >90 days ago,8/12/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2023 16:07,4131,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Butte,Loafer Creek Swim Beach,5/22/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Lake Oroville,Detail,-121.44940,39.53000
Butte,Lake Oroville,near dam,None,10/28/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 15:38,3271,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,CA Department of Water Resources,Butte,near dam,4/26/2022 0:00,California Department of Water Resources,Region 5 - Central Valley,California Department of Water Resources,Lake Oroville,Detail,-121.48220,39.53840
Butte,Thermalito Afterbay,swim beach,Last verified >30 days ago,8/30/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/1/2022 11:16,3446,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),Butte,swim beach,5/24/2022 0:00,,Region 5 - Central Valley,,Thermalito Afterbay,Detail,-121.66916,39.49167
Butte,Thermalito Forebay,swim beach,Last verified >30 days ago,8/30/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/1/2022 11:15,3445,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),Butte,swim beach,5/24/2022 0:00,,Region 5 - Central Valley,,Thermalito Forebay,Detail,-121.58750,39.53444
Contra Costa,Bear Creek,"Bear Creek, 500m US of parking lot, 40m above confluence with trib; RMC 206R00055",Last verified >90 days ago,5/3/2024,,,5/3/2024 9:27,4462,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Contra Costa,"Bear Creek, 500m US of parking lot, 40m above confluence with trib; RMC 206R00055",4/25/2024 0:00,,Region 2 - San Francisco Bay,,Bear Creek,Detail,-122.15034,37.92780
Contra Costa,Big Break Regional Shoreline,Boat launch,Danger,10/31/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/27/2023 13:06,4040,Danger,"STAY OUT OF THE WATER. Do not touch scum in the water or shore. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Do not eat shellfish from this waterbody.",East Bay Regional Park District,Contra Costa,Boat launch,1/25/2023 0:00,East Bay Regional Park District,Region 5 - Central Valley,Unknown,Big Break Regional Shoreline,Detail,-121.72854,38.01234
Contra Costa,Clifton Court Forebay,Inlet,None,10/25/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/11/2022 16:08,3275,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,CA Department of Water Resources,Contra Costa,Inlet,4/25/2022 0:00,,Region 5 - Central Valley,California Department of Water Resources,Clifton Court Forebay,Detail,-121.55740,37.82980
